GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCoHTML,com.sonar.JaCoCoHTML,App,7,0,0,0,3,0,2,0,2,0
JaCoCoHTML,com.sonar.JaCoCoHTML,cseadd,0,11,0,0,0,3,0,3,0,3
